rank,total_params,trainable_params,percent_trainable,runtime_seconds,avg_epoch_time,peak_gpu_memory_mb,final_loss,fid
2,113722371,49152,0.043221,521,52.1,2048.21,0.05321744084358215,131.415373
4,113771523,98304,0.086405,522,52.2,2048.89,0.05940359830856323,124.138043
8,113869827,196608,0.17266,524,52.4,2050.24,0.05867737531661987,124.21362
16,114066435,393216,0.344725,521,52.1,2052.95,0.04137727618217468,132.254947
32,114459651,786432,0.687082,528,52.8,2074.49,0.06335588544607162,131.647877
